authors,comments,cover,isbn,pubdate,publisher,rating,series,series_index,tags,title,id
Maria João Fialho Gouveia,"**Entre a Virtude e o Pecado.**
Esta é a história da nobre família Távora, aqui contada na voz de Dona Mariana Bernarda e Dona Teresa Tomásia, duas senhoras desta ilustre Casa, que viveram em fausto e glória até o futuro marquês de Pombal tentar apagar a sua semente da face da Terra. 
Apesar de unidas pelo sangue e pela vaidade da sua estirpe, as duas fidalgas não podiam ser mais diferentes uma da outra. A primeira era uma mulher religiosa e recta; já a segunda - sua tia e cunhada - entregava-se sem pruridos a uma vida de luxúria, vivendo um romance pecaminoso com El-rei de Portugal. 
A altivez e o poder dos grandes Távoras muito incomodavam a Sebastião José de Carvalho e Melo, Secretário de Estado. Tanto que, quando D. José I é vítima de um intrigante atentado, Sebastião José, futuro marquês de Pombal, tratou de os inculpar, prendendo-os em masmorras e conventos, sem poupar mulheres nem crianças. O Tribunal da Inconfidência, a que presidiu, torturou os réus e condenou-os a mortes cruéis. Por fim, baniu-lhes o nome, picou-lhes as armas de família, julgou tê-los calado para sempre. Mas tê-lo-á conseguido?
",C:\Users\Joao\Calibre Library\Maria Joao Fialho Gouveia\Os Tavoras (2038)\cover.jpg,9789722536127,2018-05-18T00:00:00+01:00,Bertrand Editora,4,,1.0,Autores Portugueses,Os Távoras,2038
Maria Teresa Horta,"Um romance sinfónico sobre a Marquesa de Alorna, Leonor de Almeida Portugal, neta dos Marqueses de Távora, uma figura feminina ímpar na história literária e política de Portugal. A grande escritora Maria Teresa Horta, persegue-a e vigia-a nos momentos mais íntimos, atraída pela desmesura de Leonor, no seu permanente conflito entre a razão e a emoção. Acompanha-a no voo de uma paixão, que seduz os espíritos mais cultos da época, o chamado ""século das luzes"", e abre as portas ao romantismo em Portugal. Um maravilhoso e apaixonante romance sobre a extraordinária e aventurosa vida da Marquesa de Alorna.",C:\Users\Joao\Calibre Library\Maria Teresa Horta\As Luzes de Leonor (2039)\cover.jpg,9789722047333,2012-02-28T13:05:48+00:00,Leya,4,,1.0,"Fiction, Romance, General",As Luzes de Leonor,2039
Marguerite Yourcenar,"Em 'Como a Água que Corre', Marguerite Yourcenar reuniu três novelas escritas na juventude e reformuladas numa época de maturidade literária. Na primeira obra, 'Anna, Soror...', surge o tema do incesto, do amor entre irmão e irmã; em 'Um Homem Obscuro', é traçado o percurso de Natanael, personagem de alma límpida; por fim, em 'Uma Bela Manhã', o pequeno Lázaro vive não só a sua vida, mas a vida toda, numa companhia de actores ingleses. Em suma, um tríptico onde emerge o requintado talento de uma escritora que foi também, em 1980, a primeira mulher a ingressar na Academia Francesa.  
[sinopse da contracapa]
",C:\Users\Joao\Calibre Library\Marguerite Yourcenar\Como a Agua que Corre (2040)\cover.jpg,9789726116318,1981-01-01T00:00:00+00:00,Abril/Controljornal,4,,1.0,"Antologia Contos e Crônicas, Autores Estrangeiros",Como a Água que Corre,2040
Marguerite Yourcenar,"Coletânea de contos que formam uma obra única na carreira de Marguerite Yourcenar. Baseados em lendas, fábulas, superstições de origem oriental - guardadas nas memória da autora e recriadas livremente - os contos lembram o fascínio do Oriente no cenário, no estilo, nos personagens.",C:\Users\Joao\Calibre Library\Marguerite Yourcenar\Contos orientais (2041)\cover.jpg,9788520915257,1983-02-15T12:33:34+00:00,Editora Nova Fronteira,4,,1.0,"Autores Estrangeiros, Fantasy, Classics, Contos",Contos orientais,2041
Margarida Fonseca Santos,"Teresa é uma jovem engenheira civil com uma carreira absorvente, um namorado e uma amizade de muitos anos, vivendo a convicção de que tinha feito a escolha certa. Um dia o chão que tão bem conhecia começou a ceder e foi confrontada com os seus medos... Por onde deveria recomeçar? Ao longo da vida Teresa, fechara-se num mundo de certezas, entregara-se a uma falsa segurança, mas um encontro inesperado com um desconhecido vai mudar a sua vida para sempre. Desse contacto nasce uma amizade que a vai ajudar a conhecer-se melhor. E a reconstrução do caminho a seguir e do desejo de ser feliz volta a ser um desafio. Uma Pedra Sobre o Rio é um romance sobre as nossas dúvidas, e escolhas e que nos diz que o amor e a vontade de mudar podem ser a melhor opção. Se tivermos coragem para isso.
",C:\Users\Joao\Calibre Library\Margarida Fonseca Santos\Uma pedra sobre o rio (2042)\cover.jpg,9789722904506,1999-02-15T13:20:00+00:00,Difel,3,,1.0,"Fiction, Romance, General, Autores Portugueses",Uma pedra sobre o rio,2042
Marguerite Yourcenar,"Um romance histórico. Um grande clássico. Uma obra-prima.  
*A Obra ao Negro* é a história de uma dissolução: a da ordem de valores que a Idade Média chegou a admitir como incontestáveis, mas que, mercê de quase imperceptíveis alterações, acabaram por perder o seu sentido, abrindo-se à metamorfose.  
Uma personagem, Zenão, concentra em si o desejo de mudança, a vontade de alcançar, num mundo conturbado por conflitos vários, a liberdade de pensar e conceber.  
E só um grande escritor poderia acompanhar, de forma simultaneamente tão minuciosa e bela, os contornos dessa personalidade, ao longo do doloroso caminho que a leva a enfrentar e a assumir a própria morte. Acaso se verificará então, nesse decisivo instante, uma das máximas possibilidades da Grande Obra alquímica, o opus nigrum, a tentativa de calcinar as formas para permitir a erupção de novo.
",C:\Users\Joao\Calibre Library\Marguerite Yourcenar\A obra ao negro_ Romance (2043)\cover.jpg,9789722037600,2009-02-15T13:16:36+00:00,Publicações Dom Quixote,4,,1.0,"História, Romance, Classics, Autores Estrangeiros",A obra ao negro: Romance,2043
Margaret Atwood,"""Nos mais de vinte livros que já leva publicados, nunca Margaret Atwood atingiu, como em A Impostora, uma tão perfeita ironia na abordagem do tema tratado que, neste caso, responde à pergunta: as mulheres serão todas umas hipócritas consabidas?
À primeira vista, a resposta parece ser afirmativa através da história de três mulheres de Toronto, a qual nos é contada com assinalável sentido de humor: Tony, a historiadora, Charis, a mística, e Roz, a editora, todas elas, em tempos, vítimas dos malefícios resultantes das traições e mentiras de Zénia.
De facto esta, embora acolhida como uma irmã, acabara por agir como uma víbora, fugindo com os noivos das amigas e revelando-se uma autêntica ladra de homens.""
",C:\Users\Joao\Calibre Library\Margaret Atwood\A impostora (2044)\cover.jpg,9789723815269,1995-02-15T12:57:36+00:00,Édição Livros do Brasil,,,1.0,Ficção Canadense - Romance,A impostora,2044
Marco Tosatti & Gabriele Amorth,"Nesta obra o autor, um exorcista, revela exemplos de possessões que testemunham o suposto poder de Satanás, como a mulher que vomitava vidro e pregos ou o rapaz a quem a água benta queimava.",C:\Users\Joao\Calibre Library\Marco Tosatti\MEMORIAS DE UM EXORCISTA_ MINHA LUT (2045)\cover.jpg,9789892315225,2010-10-07T00:00:00+01:00,ASA PORTUGAL,4,,1.0,"Religião - Catolicismo - Exorcismo, Autores Estrangeiros",MEMORIAS DE UM EXORCISTA: MINHA LUTA CONTRA SATANAS,2045
Margaret Atwood,"Extremistas religiosos de direita derrubaram o governo norte-americano e queimaram a Constituição. A América é agora Gileade, um estado policial e fundamentalista onde as mulheres férteis, conhecidas como Servas, são obrigadas a conceber filhos para a elite estéril. Defred é uma Serva na República de Gileade e acaba de ser transferida para a casa do enigmático Comandante e da sua ciumenta mulher. Pode ir uma vez por dia aos mercados, cujas tabuletas agora são imagens, porque as mulheres estão proibidas de ler. Tem de rezar para que o Comandante a engravide, já que, numa época de grande decréscimo do número de nascimentos, o valor de Defred reside na sua fertilidade, e o fracasso significa o exílio nas Colónias, perigosamente poluídas. Defred lembra-se de um tempo em que vivia com o marido e a filha e tinha um emprego, antes de perder tudo, incluindo o nome. Essas memórias misturam-se agora com ideias perigosas de rebelião e amor.",C:\Users\Joao\Calibre Library\Margaret Atwood\A historia de uma serva (2046)\cover.jpg,9789722525770,2013-02-15T12:53:55+00:00,Bertrand,4,The Handmaid's Tale,1.0,"Feminism, Science fiction, Classics",A história de uma serva,2046
Marcelina Gama Leandro & Álvaro de Sousa Holstein & Ana C. Nunes & Ana Cristina Luz & Ana Ferreira & Carlos Alberto Espergueiro & Carlos Coelho de Faria & Carlos Silva & Diana Sousa & Inês Montenegro & João Rogaciano & João Ventura & Joel Puga & Jorge Candeias & Jorge Palinhos & José Manuel Morais & Luís Corujo & Raquel Da Cal & Regina Catarino & Ricardo Dias & Rui Leite & Sara Farinha & Vitor Frazão,"Constituída por mini contos de autores portugueses, cujo tema comum é Livros. Livros que comem, livros que sonham, livros que alteram o ordem do tempo, tudo o que poderá imaginar de fantástico nos livros. 
Nesta antologia de mini contos, encontrará histórias fantásticas sobre livros, algumas de terror, outras com monstros e lendas, todo o tipo de histórias que se poderá imaginar que acontecem em Bibliotecas reais e imaginárias. 
Reunimos aqui vinte e quatro mini contos de diferentes autores portugueses que contam as suas histórias sobre livros. 
[http://www.smashwords.com/books/view/...](http://www.smashwords.com/books/view/306137)
",C:\Users\Joao\Calibre Library\Marcelina Gama Leandro\Antologia Fenix de Ficcao Cientific (2047)\cover.jpg,9781301400676,2013-04-14T00:00:00+01:00,Marcelina Gama Leandro & Álvaro de Sousa Holstein,3,Antologia Fénix,1.0,"Science fiction, Humour, Horror, portugal, ficcao cientifica, portugues, free, Antologias, sience fiction short stories, Fantasy, ficcao portugues, siencia ficcion, Fantasia, Short stories, Autores Portugueses",Antologia Fénix de Ficção Científica e Fantasia - Volume I,2047
Marc Bloch,"Esta obra de referência obrigatória, é um clássico para quem queira conhecer a essência da sociedade feudal, como ela funcionou, como evoluiu. Aborda o período que vai de meados do séc. IX até aos primeiros decénios do séc. XIII, num quadro geográfico que abrange a Europa ocidental e central. Bloch dá-nos a conhecer o meio e as condições de vida, os laços de sangue, a vassalidade e o feudo, as classes, a dependência das classes inferiores, o governo dos homens e a feudaliadde como tipo social. Ao mesmo tempo avalia o papel da Igreja, da realeza, da força burguesa, da cidade, da comuna.",C:\Users\Joao\Calibre Library\Marc Bloch\A sociedade feudal (2048)\cover.jpg,9789724406473,1998-02-15T13:33:35+00:00,Edições 70,4,,1.0,"History, História, Autores Estrangeiros",A sociedade feudal,2048
Manuel Tiago,"Longe de veredas e povoações, a serra ondulava pedregosa e nua. Só aqui e além, ao fundo das encostas ou por detrás dos cabeços, repousavam manchas macias de terra lavrada. Donde e quem vinha lavrá-la parecia mistério em sítio tão desolado e ermo. Toda a tarde caminharam, o Lambaça adiante, André atrás. Nem uma só vez avistaram um ser humano. Não fora o sol derramando luz no ar e nas coisas, não fora o ar límpido e leve, aquele deserto e aquele silêncio seriam intoleravelmente opressivos. Assim, a serra abria-se à intimidade, numa carícia tranquila e confiante. 
Mas, quando o sol começou a aproximar-se do horizonte, e os vales se diluíram em penumbras, e os cabeços e rebolos estenderam as sombras, e o ar começou a pesar de humidade e frio, então, sobranceira, a serra ganhou subitamente nova grandeza, como que olhando os intrusos com hostilidade. 
Pseudónimo literário de Álvaro Cunhal, que com ele assinou obras de ficção, designadamente Até Amanhã, Camaradas (1975), Cinco Dias, Cinco Noites (1975) e A Estrela de Seis Pontas (1994, adaptado para cinema por José Fonseca e Costa). A verdadeira identidade de Manuel Tiago só foi confirmada aquando da publicação deste último romance. Durante anos, muito se especulou acerca da autoria das obras.
","C:\Users\Joao\Calibre Library\Manuel Tiago\Cinco dias, cinco noites_ novela (2049)\cover.jpg",9789725502334,1994-02-15T12:30:37+00:00,Edições Avante,4,,1.0,Autores Portugueses,"Cinco dias, cinco noites: novela",2049
Manuel Pinheiro Chagas,"[http://www.luso-livros.net/Livro/hist...](http://www.luso-livros.net/Livro/historia-alegre-de-portugal/)
João Agualva, professor aposentado, decide relatar de forma fácil e didática a História do país a um grupo de saloios da sua aldeia natal, situada entre Belas e o Cacém. Da época de Viriato à Reconquista da Península Ibérica, da fundação de Portugal aos Descobrimentos, ele vai narrando, ao longo de dez serões, os momentos mais marcantes da História de Portugal, de forma descontraída, simplificada e divertida, culminando a sua narração no reinado de D. Luís I. 
Quando se tem a certeza de que se encontrou o caminho da Índia e vem um sujeito (Colombo) ter com o rei de Portugal, que está todo alegre com a descoberta, dizer-lhe: Faça favor de apagar tudo isso e de começar outra vez a procurar a Índia por outro lado. O rei, é claro, mandou-o pentear macacos. 
Publicada em 1880, esta obra de Manuel Pinheiro Chagas, tão divertida quanto didática, surgiu na mente do seu autor quando um colega deputado (na altura da monarquia constitucional) lhe ofereceu um livro francês intitulado: “Entretiens populaires sur l’histoire de France” – um pequeno livro que, de modo desprendido e usando uma linguagem prosaica, contava, muito concisamente, alguns episódios da história da França, de maneira a estes serem compreendidos pelo cidadão francês comum. Pinheiro Chagas achou tanta piada ao livro que se perguntou – tal como o próprio escreveu – “se não seria possível fazer, com relação à história portuguesa, um livro nesse género“. Dessa motivação surgiu então a “História Alegre de Portugal” uma obra mais rica em estilo narrativo que a congénere francesa pois é contada em forma de novela, na qual a História de Portugal serve de mote para o desenvolvimento narrativo da história central que tem um ex-professor como protagonista a contar ao um grupo de aldeões – descritos bem à maneira caricatural do “zé povinho” de Rafael Bordalo Pinheiro, amigo de longa data de Pinheiro Chagas – a História do seu país que, curiosamente, lhes é completamente desconhecida. 
De chamar a atenção que esta obra de Manuel Pinheiro Chagas foi há uns anos atrás adaptada para uma versão em banda desenha, feita pelo desenhista Artur Correia.
",C:\Users\Joao\Calibre Library\Manuel Pinheiro Chagas\Historia alegre de Portugal (2050)\cover.jpg,,1880-02-15T12:53:47+00:00,Empreza Horas romanticas,4,,1.0,Autores Portugueses,História alegre de Portugal,2050
Marguerite Duras,"Considerado o livro mais autobiográfico da escritora, dramaturga e cineasta Marguerite Duras (1914-1996), O amante, escrito em 1984, recebeu o Prêmio Goncourt, o mais importante da literatura francesa e se consagrou como sua obra mais célebre. O romance narra um episódio da adolescência de Duras: sua iniciação sexual, aos quinze anos e meio, com um chinês rico de Saigon. Se as personagens e fatos são verídicos, a escrita os transfigura e transcende; não sabemos em que medida a história é verdadeira. Os encontros amorosos são, ao mesmo tempo, intensamente prazerosos e infinitamente tristes; a vida da família contrapõe amor e ódio, miséria material e riqueza afetiva. A presença da mãe, sua desgraça financeira e moral, do irmão mais velho, drogado, cruel e venal, e do irmão mais novo, frágil e oprimido, constituem uma existência predominantemente triste, e por vezes trágica, de onde Duras extrai um esplendor artístico que se reflete em sua própria pessoa - personagem enigmática, quase de ficção. Tem sido dito que ler este livro é como folhear um álbum de fotografias - a narrativa se desenrola em torno de uma série de imagens fascinantes. Esse trabalho primoroso com as imagens também pode ser verificado nos mais de vinte filmes dirigidos por Duras e na possibilidade de seus textos se transformarem em filmes, como o fez Jean-Jacques Annaud com O amante em 1991. O livro integra a coleção Mulheres Modernistas - que já conta com O homem sentado no corredor e A doença da morte, volume que traz duas novelas da autora - e inclui posfácio de Leyla Perrone-Moisés e sugestões de leitura.",C:\Users\Joao\Calibre Library\Marguerite Duras\O amante (2051)\cover.jpg,9788540506428,2014-11-25T12:14:56+00:00,Cosac Naify,4,The Lover,1.0,"Family Life, Fiction, Women, General, Classics, Autores Estrangeiros, Romance",O amante,2051
Manuel Jorge Marmelo,"Galardoado recentemente com o Prémio Correntes d’ Escritas/Casino da Póvoa 2014, pelo romance Uma Mentira Mil Vezes Repetida, M.J. Marmelo lança um extraordinário romance em que temas fundamentais do nosso tempo são tratados com a mais apurada mestria literária.   
Depois de acordar ao lado do cadáver de Soraya - a mestiça belíssima, estrela televisiva, com quem mantinha uma relação íntima a pretexto de lhe escrever a autobiografia -, o jornalista desempregado Herculano Vermelho entrega-se à polícia e é preso. Não tem memória de nada, nem de que possa ter sido ele a matar a jovem mulher, mas a prisão parece-lhe ser o lugar ideal, o espaço de sossego e de liberdade (sem contas para pagar, sem apresentações regulares no centro de emprego, sem pressões de qualquer espécie), para passar a sua vida em revista, a relação com as mulheres, e escrever a autobiografia da rapariga morta.
",C:\Users\Joao\Calibre Library\Manuel Jorge Marmelo\O Tempo Morto e um Bom Lugar (2052)\cover.jpg,9789897221736,2014-07-01T00:00:00+01:00,Quetzal,3,,1.0,Romance português,O Tempo Morto é um Bom Lugar,2052
Manuel Maria Rodrigues,"[http://www.luso-livros.net/Livro/a-ro...](http://www.luso-livros.net/Livro/a-rosa-do-adro/)
Rosa, é a mulher mais bela de uma aldeia situada “a cinco ou a seis léguas do Porto”, “no fundo montanhoso de uma colina” e sendo bela faz despertar a paixão dos homens que a cobiçam, sobretudo a de Fernando e António. Mas Fernando ganha o amor de Rosa, e António não, apesar de ser um homem que tanto é capaz de morrer por ela, como de por ela matar. 
A Rosa do Adro era a alegria e o enlevo de toda a gente. A rainha, o tudo daqueles lugares. 
Publicada pela primeira vez em 1870, A Rosa do Adro é a obra mais conhecida de Manuel Maria Rodrigues, um escritor que nunca teve o reconhecimento em vida que merecia, apesar deste seu livro ser um dos romance mais vendido do século XX em Portugal. 
Manuel Maria Rodrigues começou muito novo por ser tipógrafo nas oficinas do jornal “O Comércio do Porto” mas devido à sua sagacidade e talento natural para a escrita acabou com o tempo por ir subindo de posto, dentro do jornal, passando pela actividade de repórter, revisor, até chegar à de redactor efetivo. Esta posição gracejou-lhe tempo e meios para conseguir publicar alguns romances e operetas, tudo antes de atingir os 20 anos. Mas apesar de ser um escritor prolífero e talentoso nunca foi reconhecido como tal pelos críticos literários do seu tempo, habituados a obras mais eruditas e que desconsideravam romances de autores sem estatuto social e que continham histórias de amor provinciano, cheias de personagem prosaicas. 
O reconhecimento nacional do seu trabalho começou precisamente no ano da sua morte, quando em 1899 se levou uma adaptação deste seu romance, “A Rosa do Adro”, para o palco. O sucesso foi estrondoso. Tanto que, 17 anos depois, quando o cinema português (ainda na fase do filme mudo) andava à procura de uma história para levar para o grande ecrã, foi o romance de Manuel Maria Rodrigues o escolhido, tornado-se assim, em 1919, numa das primeira obras literárias portuguesas a ser adaptadas para o grande ecrã e numa das primeiras obras cinematográficas do cinema português. 
Mas a adaptação não terminaria aí. Em 1938 a obra foi novamente repescada para uma nova versão cinematográfica, desta vez em filme sonoro e mais fiel à história do romance, num filme que acabaria por ser o primeiro filme “remake” da história do cinema português. Tal como a versão anterior, o filme foi um estrondoso sucesso de bilheteira. 
Graças a todas estas adaptações, o romance “A Rosa do Adro” acabaria por ser constantemente re-editado, ao milhares, ao longo do século XX, servindo-se sempre das imagens iconográficas dos posters de promoção das peças de teatro e dos filmes para adornar as capas. A última re-edição do livro é de 2011 o que faz da obra um dos maiores best-sellers de ficção da literatura portuguesa (o maior, se retiramos os livros de leitura obrigatória nas escola como “Os Maias” ou o “Amor de Perdição”).
",C:\Users\Joao\Calibre Library\Manuel Maria Rodrigues\A Rosa do adro_ romance (2053)\cover.jpg,,1979-02-15T13:28:21+00:00,Porto ed.,3,,1.0,"Classics, Autores Portugueses",A Rosa do adro: romance,2053
Manuel Da Silva Rosa,"No ano de 1444, perto da região onde outrora se erguera Constantinopla, um monarca cristão decidiu quebrar a sua trégua com os muçulmanos e conduzir os seus homens para o campo de batalha. O destino, porém, faz com que o seu exército seja dizimado, os mais fiéis companheiros sejam encontrados mortos e que este desapareça sem deixar rasto. Anos depois, na ilha da Madeira, mais de 3000 quilómetros a oeste, um misterioso cavaleiro de Santa Catarina do Monte Sinai casa-se com uma dama da elite portuguesa. . . e tem um filho. Essa criança ficaria para a história com um nome que é hoje conhecido em todo o mundo: Cristóvão Colombo. UMA CONSPIRAÇÃO REAL QUE VAI MUDAR O RUMO DA HISTÓRIA A vida de Colombo foi envolta num imenso mistério construído com o propósito de manter o mundo geral às escuras sobre a sua identidade, com exceção de uns poucos escolhidos, que sabiam da verdade. Aclamado herói nos seus dias, foi agraciado com fama e glória de tal forma, que poucos seres humanos o conseguiram suplantar. Mas quem era o homem ao qual chamamos Colombo e o que fazia em Castela? UM DOS MAIORES SEGREDOS DA EXPANSÃO MARÍTIMA PORTUGUESA Demorou 500 anos a construir uma mentira e duas décadas de investigação a desmascará-la. O «descobridor da América» pode bem ter sido o melhor agente duplo da História, porque conseguiu manter o seu segredo durante mais de cinco séculos. Na verdade, o homem que conhecemos como Cristóvão Colombo partiu de Portugal para Espanha, numa missão secreta ao serviço do rei D. João II, com o objetivo de enganar os Reis Católicos e proteger o monopólio do comércio marítimo português. Numa época tão épica e aventureira como a da expansão marítima, este é um verdadeiro jogo de espiões, manobras ocultas, conspirações, intrigas, traições, assassínios, fraudes, mentiras e enganos, perpetrado pelo génio de D. João II para tornar Portugal o primeiro império global.",C:\Users\Joao\Calibre Library\Manuel Da Silva Rosa\Portugal E O Segredo De Colombo (2054)\cover.jpg,9789898907615,2019-02-15T12:31:33+00:00,Alma dos Livros,4,Os Pontos Cardeais,1.0,"Biographies & Memoirs, Autores Portugueses",Portugal E O Segredo De Colombo,2054
Manuel Amaro Mendonça,,C:\Users\Joao\Calibre Library\Manuel Amaro Mendonca\Traicao por Conviccao (2055)\cover.jpg,,2015-01-01T00:00:00+00:00,,2,,1.0,Autores Portugueses,Traição por Convicção,2055
Manuel Alves,"Z vive confinado numa sala branca e vigiado por um sistema de segurança criado especificamente para o conter. Z é o último de mil crianças nascidas de úteros artificiais, dotado de um extraordinário poder de raciocínio e capacidades físicas que o colocam um degrau acima da evolução humana. Z tem um plano para escapar mas, para isso, terá de enfrentar o seu carcereiro e criador: o Professor, um homem frio e metódico, possuidor de um intelecto que rivaliza com o de Z. 
[https://www.smashwords.com/books/view...](https://www.smashwords.com/books/view/255680)
\-- 
English: 
[https://www.smashwords.com/books/view...](https://www.smashwords.com/books/view/256358)
",C:\Users\Joao\Calibre Library\Manuel Alves\Z (2056)\cover.jpg,9781301893812,2012-11-16T00:00:00+00:00,Smashwords,4,,1.0,"short story, Science fiction, Autores Portugueses",Z,2056
Manuel Alegre,"Uma outra Memoria reune textos de natureza variada que Manuel Alegre tem vindo a escrever e que, dada a sua natureza, se encontravam dispersos. Ao longo destas paginas encontramos uma vis?o poetica do pais e da Historia, o Poema e a Vida, os escritores e os poetas amigos, os musicos e os , a politica, Portugal e a Europa, a liberdade e o seu ultimo discurso na Assembleia da Republica. Um livro que e uma longa declarac?o de amor. A escrita, aos amigos, a Portugal e a lingua Portuguesa.",C:\Users\Joao\Calibre Library\Manuel Alegre\Uma Outra Memoria (2057)\cover.jpg,9789722059640,2016-02-22T13:18:30+00:00,Leya,4,,1.0,"Fiction, Romance, General, Autores Portugueses",Uma Outra Memória,2057
Manuel Alegre,"É um épagneul-breton a personagem principal do novo livro de Manuel Alegre.Com «manchas castanhas e uma espécie de estrela branca no meio da cabeça». Cão... como nós.Como nós, porque sabe da amizade (o cão é o melhor amigo do homem), da solidariedade, protege a criança, consola o dono, pressente a desgraça, «chora» a morte. Mas também é altivo e irrequieto. Às vezes desobediente e exibicionista.Chama-se Kurika, e acompanhou o escritor e a sua família ao longo de anos. Aliás, ele «é» parte da família, diz Manuel Alegre. Um livro alegre e comovente.
",C:\Users\Joao\Calibre Library\Manuel Alegre\Cao como nos_ novela (2058)\cover.jpg,9789722023016,2002-02-15T12:22:58+00:00,Publicações Dom Quixote,4,,1.0,"Fiction, Classics, Autores Portugueses",Cão como nós: novela,2058
Manuel Alegre,"A memória nostálgica dos lugares encantatórios de Alma, a vila da infância. Dessa infância, donde vêm as imagens e as emoções que norteiam a vida. Toda a vida: não há flecha que não tenha o arco da infância.
",C:\Users\Joao\Calibre Library\Manuel Alegre\Alma_ romance (2059)\cover.jpg,9789722026680,1995-02-15T12:14:32+00:00,Dom Quixote,4,,1.0,"Fiction, Classics, Autores Portugueses",Alma: romance,2059
Maeve Haran,"Quando chega à corte da Restauração, Frances Stuart, de apenas dezasseis anos, depressa descobre que tanto a sua beleza como a sua inocência são altamente prezadas – invejadas pelas damas e cobiçadas pelos cavalheiros. O rei Carlos II, loucamente apaixonado por ela, está disposto a tudo para a tornar sua amante. Mas Frances não é apenas um rosto bonito, ela está determinada a fazer as suas próprias escolhas de vida, e a conquistar o homem que ama. 
Conseguirá ela escapar às armadilhas resultantes da obsessão do monarca, dos ciúmes da rainha, e da maldade da amante mais influente do rei e levar a sua avante? 
Tendo como pano de fundo a Grande Praga e o Grande Incêndio de Londres, A Dama do Retrato é a imagem vívida da vida na decadente corte de Carlos II e da coragem de uma mulher que luta pelo seu próprio destino.
",C:\Users\Joao\Calibre Library\Maeve Haran\A Dama do Retrato (2060)\cover.jpg,9789720045904,2011-01-01T00:00:00+00:00,Porto Editora,4,,1.0,"Romance, Autores Estrangeiros",A Dama do Retrato,2060
Mads Peder Nordbo,"Emocionante e perturbador, um jornalista perseguido pelo passado. Uma jovem acusada de um crime hediondo. Eles estavam à beira do glaciar. O mar debaixo do helicóptero denso de gelo. À sua frente, a brancura infinita estendia-se até onde a luz podia alcançar. Milhões de cristais brancos. Excepto num lugar. Onde a múmia fora encontrada e Aqqalu vigiava. Lá, o gelo estava vermelho-brilhante. Quando um cadáver viquingue mumificado é descoberto numa fenda no gelo, o jornalista Matthew Cave é destacado para cobrir a história. No dia seguinte, a múmia desapareceu. O corpo do polícia que a guardava jaz no gelo, nu e esfolado, tal como as vítimas de uma horrível série de assassínios que aterrorizaram a remota Nuuk na década de 1970. Enquanto Matt investiga, fica chocado com a privação e violência brutal que os locais tomam como usual. Incapaz de confiar na polícia, começa a suspeitar de um encobrimento. É quando conhece uma jovem inuit, Tupaarnaq, condenada por matar os pais e duas irmãs, que Matt começa a perceber o quão profunda é essa história... e no perigo em que se meteu. Um policial que não se coíbe de pormenores, violento, sombrio, complexo e impressionante. Os lugares e a paisagem são grandes linhas evocativas que os escritores escandinavos têm e que Mads Peder Norbdo explora de forma magistral neste livro
",C:\Users\Joao\Calibre Library\Mads Peder Nordbo\A Rapariga sem Pele (2061)\cover.jpg,9789897771392,2017-04-27T00:00:00+01:00,Planeta,4,Grønland - Greenland,1.0,"Fiction, Mystery & Detective, General",A Rapariga sem Pele,2061
Madeline Hunter,"Na alta-roda londrina, ninguém pode acusar Marielle Lyon de falta de elegância. Muito pelo contrário. A jovem refugiada francesa está na penúria mas mantém uma invejável pose de distinção e graça. Ela diz ser sobrinha de um aristocrata mas a sua chegada a Londres está envolta em mistério. E ainda para mais, parece divertir-se imenso com os boatos que a acusam de ser espia. Afinal, quanto mais a vigiarem, mais protegida estará para levar a cabo a sua missão secreta. E entre os muitos olhos que a observam, estão os de Gavin Norwood, visconde Kendale, que esteve na guerra e desconfia dos Franceses... e também das femmes fatales. Está convicto – e com razão – de que Marielle é muito mais do que aparenta ser. Mas a astuta emigrée revela-se uma adversária à sua altura. Para a desmascarar, Gavin vai ter de recorrer a todas as armas do seu arsenal... incluindo a sedução...O muito aguardado terceiro volume da série O Quarteto Fairbourne, escrito com a mestria a que já nos habituou Madeline Hunter.",C:\Users\Joao\Calibre Library\Madeline Hunter\O Triunfo da Amante (2062)\cover.jpg,9789892336985,2016-11-10T13:47:22+00:00,Leya,4,Fairbourne Quartet,3.0,"Fiction, General, Autores Estrangeiros, Ficção norte-americana - Romance, Romance",O Triunfo da Amante,2062
Madeline Hunter,"Um negocio gerido por uma mulher? Em 1798? Parece impossivel! Mas e esse mesmo o plano de Emma Fairbourne apos a morte do pai. Apesar de saber que se trata de uma jogada arriscada, ela esta disposta ate a contratar um belo e encantador homem para servir de disfarce, tudo para manter vivo o legado da leiloeira Fairbourne's... So que o patriarca Maurice Fairbourne tinha um socio desconhecido, Darius, o Conde de Southwaite. Darius e um homem habituado a ter o que quer e sem o menor interesse em gerir uma leiloeira, muito menos uma (desconfia ele) envolta em escandalos que poderiam arruinar a sua reputac?o. N?o contava era com a vontade ferrea de Emma, cuja frontalidade e simultaneamente exasperante e sensual. Darius decide tentar ent?o uma nova abordagem, que n?o so fara com que ela se renda a ele, mas proporcionara imenso prazer a ambos...",C:\Users\Joao\Calibre Library\Madeline Hunter\O Plano de Miss Fairbourne (2063)\cover.jpg,9789892333335,2015-10-06T14:21:23+01:00,Leya,,Fairbourne Quartet,1.0,"Fiction, General, Autores Estrangeiros, Ficção norte-americana - Romance, Romance",O Plano de Miss Fairbourne,2063
